dx,icddesc,ccscat,ccsdesc,'OPTIONAL CCS CATEGORY','OPTIONAL CCS CATEGORY DESCRIPTION'
'01100',TB LUNG INFILTR-UNSPEC,1,'Tuberculosis',' ',' '
'01101',TB LUNG INFILTR-NO EXAM,1,'Tuberculosis',' ',' '
'01102',TB LUNG INFILTR-EXM UNKN,1,'Tuberculosis',' ',' '
'01103',TB LUNG INFILTR-MICRO DX,1,'Tuberculosis',' ',' '
'01104',TB LUNG INFILTR-CULT DX,1,'Tuberculosis',' ',' '
'01105',TB LUNG INFILTR-HISTO DX,1,'Tuberculosis',' ',' '
'01106',TB LUNG INFILTR-OTH TEST,1,'Tuberculosis',' ',' '
'01110',TB LUNG NODULAR-UNSPEC,1,'Tuberculosis',' ',' '
'01111',TB LUNG NODULAR-NO EXAM,1,'Tuberculosis',' ',' '
'01112',TB LUNG NODUL-EXAM UNKN,1,'Tuberculosis',' ',' '
'01113',TB LUNG NODULAR-MICRO DX,1,'Tuberculosis',' ',' '
'01114',TB LUNG NODULAR-CULT DX,1,'Tuberculosis',' ',' '
'01115',TB LUNG NODULAR-HISTO DX,1,'Tuberculosis',' ',' '
'01116',TB LUNG NODULAR-OTH TEST,1,'Tuberculosis',' ',' '
'01120',TB LUNG W CAVITY-UNSPEC,1,'Tuberculosis',' ',' '
'01121',TB LUNG W CAVITY-NO EXAM,1,'Tuberculosis',' ',' '
'01122',TB LUNG CAVITY-EXAM UNKN,1,'Tuberculosis',' ',' '
'01123',TB LUNG W CAVIT-MICRO DX,1,'Tuberculosis',' ',' '
'01124',TB LUNG W CAVITY-CULT DX,1,'Tuberculosis',' ',' '
'01125',TB LUNG W CAVIT-HISTO DX,1,'Tuberculosis',' ',' '
'01126',TB LUNG W CAVIT-OTH TEST,1,'Tuberculosis',' ',' '
'01130',TB OF BRONCHUS-UNSPEC,1,'Tuberculosis',' ',' '
'01131',TB OF BRONCHUS-NO EXAM,1,'Tuberculosis',' ',' '
'01132',TB OF BRONCHUS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01133',TB OF BRONCHUS-MICRO DX,1,'Tuberculosis',' ',' '
'01134',TB OF BRONCHUS-CULT DX,1,'Tuberculosis',' ',' '
'01135',TB OF BRONCHUS-HISTO DX,1,'Tuberculosis',' ',' '
'01136',TB OF BRONCHUS-OTH TEST,1,'Tuberculosis',' ',' '
'01140',TB LUNG FIBROSIS-UNSPEC,1,'Tuberculosis',' ',' '
'01141',TB LUNG FIBROSIS-NO EXAM,1,'Tuberculosis',' ',' '
'01142',TB LUNG FIBROS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01143',TB LUNG FIBROS-MICRO DX,1,'Tuberculosis',' ',' '
'01144',TB LUNG FIBROSIS-CULT DX,1,'Tuberculosis',' ',' '
'01145',TB LUNG FIBROS-HISTO DX,1,'Tuberculosis',' ',' '
'01146',TB LUNG FIBROS-OTH TEST,1,'Tuberculosis',' ',' '
'01150',TB BRONCHIECTASIS-UNSPEC,1,'Tuberculosis',' ',' '
'01151',TB BRONCHIECT-NO EXAM,1,'Tuberculosis',' ',' '
'01152',TB BRONCHIECT-EXAM UNKN,1,'Tuberculosis',' ',' '
'01153',TB BRONCHIECT-MICRO DX,1,'Tuberculosis',' ',' '
'01154',TB BRONCHIECT-CULT DX,1,'Tuberculosis',' ',' '
'01155',TB BRONCHIECT-HISTO DX,1,'Tuberculosis',' ',' '
'01156',TB BRONCHIECT-OTH TEST,1,'Tuberculosis',' ',' '
'01160',TB PNEUMONIA-UNSPEC,1,'Tuberculosis',' ',' '
'01161',TB PNEUMONIA-NO EXAM,1,'Tuberculosis',' ',' '
'01162',TB PNEUMONIA-EXAM UNKN,1,'Tuberculosis',' ',' '
'01163',TB PNEUMONIA-MICRO DX,1,'Tuberculosis',' ',' '
'01164',TB PNEUMONIA-CULT DX,1,'Tuberculosis',' ',' '
'01165',TB PNEUMONIA-HISTO DX,1,'Tuberculosis',' ',' '
'01166',TB PNEUMONIA-OTH TEST,1,'Tuberculosis',' ',' '
'01170',TB PNEUMOTHORAX-UNSPEC,1,'Tuberculosis',' ',' '
'01171',TB PNEUMOTHORAX-NO EXAM,1,'Tuberculosis',' ',' '
'01172',TB PNEUMOTHORX-EXAM UNKN,1,'Tuberculosis',' ',' '
'01173',TB PNEUMOTHORAX-MICRO DX,1,'Tuberculosis',' ',' '
'01174',TB PNEUMOTHORAX-CULT DX,1,'Tuberculosis',' ',' '
'01175',TB PNEUMOTHORAX-HISTO DX,1,'Tuberculosis',' ',' '
'01176',TB PNEUMOTHORAX-OTH TEST,1,'Tuberculosis',' ',' '
'01180',PULMONARY TB NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01181',PULMONARY TB NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01182',PULMON TB NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01183',PULMON TB NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01184',PULMON TB NEC-CULT DX,1,'Tuberculosis',' ',' '
'01185',PULMON TB NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01186',PULMON TB NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01190',PULMONARY TB NOS-UNSPEC,1,'Tuberculosis',' ',' '
'01191',PULMONARY TB NOS-NO EXAM,1,'Tuberculosis',' ',' '
'01192',PULMON TB NOS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01193',PULMON TB NOS-MICRO DX,1,'Tuberculosis',' ',' '
'01194',PULMON TB NOS-CULT DX,1,'Tuberculosis',' ',' '
'01195',PULMON TB NOS-HISTO DX,1,'Tuberculosis',' ',' '
'01196',PULMON TB NOS-OTH TEST,1,'Tuberculosis',' ',' '
'01200',TB PLEURISY-UNSPEC,1,'Tuberculosis',' ',' '
'01201',TB PLEURISY-NO EXAM,1,'Tuberculosis',' ',' '
'01202',TB PLEURISY-EXAM UNKN,1,'Tuberculosis',' ',' '
'01203',TB PLEURISY-MICRO DX,1,'Tuberculosis',' ',' '
'01204',TB PLEURISY-CULT DX,1,'Tuberculosis',' ',' '
'01205',TB PLEURISY-HISTOLOG DX,1,'Tuberculosis',' ',' '
'01206',TB PLEURISY-OTH TEST,1,'Tuberculosis',' ',' '
'01210',TB THORACIC NODES-UNSPEC,1,'Tuberculosis',' ',' '
'01211',TB THORAX NODE-NO EXAM,1,'Tuberculosis',' ',' '
'01212',TB THORAX NODE-EXAM UNKN,1,'Tuberculosis',' ',' '
'01213',TB THORAX NODE-MICRO DX,1,'Tuberculosis',' ',' '
'01214',TB THORAX NODE-CULT DX,1,'Tuberculosis',' ',' '
'01215',TB THORAX NODE-HISTO DX,1,'Tuberculosis',' ',' '
'01216',TB THORAX NODE-OTH TEST,1,'Tuberculosis',' ',' '
'01220',ISOL TRACHEAL TB-UNSPEC,1,'Tuberculosis',' ',' '
'01221',ISOL TRACHEAL TB-NO EXAM,1,'Tuberculosis',' ',' '
'01222',ISOL TRACH TB-EXAM UNKN,1,'Tuberculosis',' ',' '
'01223',ISOLAT TRACH TB-MICRO DX,1,'Tuberculosis',' ',' '
'01224',ISOL TRACHEAL TB-CULT DX,1,'Tuberculosis',' ',' '
'01225',ISOLAT TRACH TB-HISTO DX,1,'Tuberculosis',' ',' '
'01226',ISOLAT TRACH TB-OTH TEST,1,'Tuberculosis',' ',' '
'01230',TB LARYNGITIS-UNSPEC,1,'Tuberculosis',' ',' '
'01231',TB LARYNGITIS-NO EXAM,1,'Tuberculosis',' ',' '
'01232',TB LARYNGITIS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01233',TB LARYNGITIS-MICRO DX,1,'Tuberculosis',' ',' '
'01234',TB LARYNGITIS-CULT DX,1,'Tuberculosis',' ',' '
'01235',TB LARYNGITIS-HISTO DX,1,'Tuberculosis',' ',' '
'01236',TB LARYNGITIS-OTH TEST,1,'Tuberculosis',' ',' '
'01280',RESP TB NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01281',RESP TB NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01282',RESP TB NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01283',RESP TB NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01284',RESP TB NEC-CULT DX,1,'Tuberculosis',' ',' '
'01285',RESP TB NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01286',RESP TB NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01300',TB MENINGITIS-UNSPEC,1,'Tuberculosis',' ',' '
'01301',TB MENINGITIS-NO EXAM,1,'Tuberculosis',' ',' '
'01302',TB MENINGITIS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01303',TB MENINGITIS-MICRO DX,1,'Tuberculosis',' ',' '
'01304',TB MENINGITIS-CULT DX,1,'Tuberculosis',' ',' '
'01305',TB MENINGITIS-HISTO DX,1,'Tuberculosis',' ',' '
'01306',TB MENINGITIS-OTH TEST,1,'Tuberculosis',' ',' '
'01310',TUBRCLMA MENINGES-UNSPEC,1,'Tuberculosis',' ',' '
'01311',TUBRCLMA MENING-NO EXAM,1,'Tuberculosis',' ',' '
'01312',TUBRCLMA MENIN-EXAM UNKN,1,'Tuberculosis',' ',' '
'01313',TUBRCLMA MENING-MICRO DX,1,'Tuberculosis',' ',' '
'01314',TUBRCLMA MENING-CULT DX,1,'Tuberculosis',' ',' '
'01315',TUBRCLMA MENING-HISTO DX,1,'Tuberculosis',' ',' '
'01316',TUBRCLMA MENING-OTH TEST,1,'Tuberculosis',' ',' '
'01320',TUBERCULOMA BRAIN-UNSPEC,1,'Tuberculosis',' ',' '
'01321',TUBRCLOMA BRAIN-NO EXAM,1,'Tuberculosis',' ',' '
'01322',TUBRCLMA BRAIN-EXAM UNKN,1,'Tuberculosis',' ',' '
'01323',TUBRCLOMA BRAIN-MICRO DX,1,'Tuberculosis',' ',' '
'01324',TUBRCLOMA BRAIN-CULT DX,1,'Tuberculosis',' ',' '
'01325',TUBRCLOMA BRAIN-HISTO DX,1,'Tuberculosis',' ',' '
'01326',TUBRCLOMA BRAIN-OTH TEST,1,'Tuberculosis',' ',' '
'01330',TB BRAIN ABSCESS-UNSPEC,1,'Tuberculosis',' ',' '
'01331',TB BRAIN ABSCESS-NO EXAM,1,'Tuberculosis',' ',' '
'01332',TB BRAIN ABSC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01333',TB BRAIN ABSC-MICRO DX,1,'Tuberculosis',' ',' '
'01334',TB BRAIN ABSCESS-CULT DX,1,'Tuberculosis',' ',' '
'01335',TB BRAIN ABSC-HISTO DX,1,'Tuberculosis',' ',' '
'01336',TB BRAIN ABSC-OTH TEST,1,'Tuberculosis',' ',' '
'01340',TUBRCLMA SP CORD-UNSPEC,1,'Tuberculosis',' ',' '
'01341',TUBRCLMA SP CORD-NO EXAM,1,'Tuberculosis',' ',' '
'01342',TUBRCLMA SP CD-EXAM UNKN,1,'Tuberculosis',' ',' '
'01343',TUBRCLMA SP CRD-MICRO DX,1,'Tuberculosis',' ',' '
'01344',TUBRCLMA SP CORD-CULT DX,1,'Tuberculosis',' ',' '
'01345',TUBRCLMA SP CRD-HISTO DX,1,'Tuberculosis',' ',' '
'01346',TUBRCLMA SP CRD-OTH TEST,1,'Tuberculosis',' ',' '
'01350',TB SP CRD ABSCESS-UNSPEC,1,'Tuberculosis',' ',' '
'01351',TB SP CRD ABSC-NO EXAM,1,'Tuberculosis',' ',' '
'01352',TB SP CRD ABSC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01353',TB SP CRD ABSC-MICRO DX,1,'Tuberculosis',' ',' '
'01354',TB SP CRD ABSC-CULT DX,1,'Tuberculosis',' ',' '
'01355',TB SP CRD ABSC-HISTO DX,1,'Tuberculosis',' ',' '
'01356',TB SP CRD ABSC-OTH TEST,1,'Tuberculosis',' ',' '
'01360',TB ENCEPHALITIS-UNSPEC,1,'Tuberculosis',' ',' '
'01361',TB ENCEPHALITIS-NO EXAM,1,'Tuberculosis',' ',' '
'01362',TB ENCEPHALIT-EXAM UNKN,1,'Tuberculosis',' ',' '
'01363',TB ENCEPHALITIS-MICRO DX,1,'Tuberculosis',' ',' '
'01364',TB ENCEPHALITIS-CULT DX,1,'Tuberculosis',' ',' '
'01365',TB ENCEPHALITIS-HISTO DX,1,'Tuberculosis',' ',' '
'01366',TB ENCEPHALITIS-OTH TEST,1,'Tuberculosis',' ',' '
'01380',CNS TB NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01381',CNS TB NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01382',CNS TB NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01383',CNS TB NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01384',CNS TB NEC-CULT DX,1,'Tuberculosis',' ',' '
'01385',CNS TB NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01386',CNS TB NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01390',CNS TB NOS-UNSPEC,1,'Tuberculosis',' ',' '
'01391',CNS TB NOS-NO EXAM,1,'Tuberculosis',' ',' '
'01392',CNS TB NOS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01393',CNS TB NOS-MICRO DX,1,'Tuberculosis',' ',' '
'01394',CNS TB NOS-CULT DX,1,'Tuberculosis',' ',' '
'01395',CNS TB NOS-HISTO DX,1,'Tuberculosis',' ',' '
'01396',CNS TB NOS-OTH TEST,1,'Tuberculosis',' ',' '
'01400',TB PERITONITIS-UNSPEC,1,'Tuberculosis',' ',' '
'01401',TB PERITONITIS-NO EXAM,1,'Tuberculosis',' ',' '
'01402',TB PERITONITIS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01403',TB PERITONITIS-MICRO DX,1,'Tuberculosis',' ',' '
'01404',TB PERITONITIS-CULT DX,1,'Tuberculosis',' ',' '
'01405',TB PERITONITIS-HISTO DX,1,'Tuberculosis',' ',' '
'01406',TB PERITONITIS-OTH TEST,1,'Tuberculosis',' ',' '
'01480',INTESTINAL TB NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01481',INTESTIN TB NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01482',INTEST TB NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01483',INTESTIN TB NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01484',INTESTIN TB NEC-CULT DX,1,'Tuberculosis',' ',' '
'01485',INTESTIN TB NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01486',INTESTIN TB NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01500',TB OF VERTEBRA-UNSPEC,1,'Tuberculosis',' ',' '
'01501',TB OF VERTEBRA-NO EXAM,1,'Tuberculosis',' ',' '
'01502',TB OF VERTEBRA-EXAM UNKN,1,'Tuberculosis',' ',' '
'01503',TB OF VERTEBRA-MICRO DX,1,'Tuberculosis',' ',' '
'01504',TB OF VERTEBRA-CULT DX,1,'Tuberculosis',' ',' '
'01505',TB OF VERTEBRA-HISTO DX,1,'Tuberculosis',' ',' '
'01506',TB OF VERTEBRA-OTH TEST,1,'Tuberculosis',' ',' '
'01510',TB OF HIP-UNSPEC,1,'Tuberculosis',' ',' '
'01511',TB OF HIP-NO EXAM,1,'Tuberculosis',' ',' '
'01512',TB OF HIP-EXAM UNKN,1,'Tuberculosis',' ',' '
'01513',TB OF HIP-MICRO DX,1,'Tuberculosis',' ',' '
'01514',TB OF HIP-CULT DX,1,'Tuberculosis',' ',' '
'01515',TB OF HIP-HISTO DX,1,'Tuberculosis',' ',' '
'01516',TB OF HIP-OTH TEST,1,'Tuberculosis',' ',' '
'01520',TB OF KNEE-UNSPEC,1,'Tuberculosis',' ',' '
'01521',TB OF KNEE-NO EXAM,1,'Tuberculosis',' ',' '
'01522',TB OF KNEE-EXAM UNKN,1,'Tuberculosis',' ',' '
'01523',TB OF KNEE-MICRO DX,1,'Tuberculosis',' ',' '
'01524',TB OF KNEE-CULT DX,1,'Tuberculosis',' ',' '
'01525',TB OF KNEE-HISTO DX,1,'Tuberculosis',' ',' '
'01526',TB OF KNEE-OTH TEST,1,'Tuberculosis',' ',' '
'01550',TB OF LIMB BONES-UNSPEC,1,'Tuberculosis',' ',' '
'01551',TB LIMB BONES-NO EXAM,1,'Tuberculosis',' ',' '
'01552',TB LIMB BONES-EXAM UNKN,1,'Tuberculosis',' ',' '
'01553',TB LIMB BONES-MICRO DX,1,'Tuberculosis',' ',' '
'01554',TB LIMB BONES-CULT DX,1,'Tuberculosis',' ',' '
'01555',TB LIMB BONES-HISTO DX,1,'Tuberculosis',' ',' '
'01556',TB LIMB BONES-OTH TEST,1,'Tuberculosis',' ',' '
'01560',TB OF MASTOID-UNSPEC,1,'Tuberculosis',' ',' '
'01561',TB OF MASTOID-NO EXAM,1,'Tuberculosis',' ',' '
'01562',TB OF MASTOID-EXAM UNKN,1,'Tuberculosis',' ',' '
'01563',TB OF MASTOID-MICRO DX,1,'Tuberculosis',' ',' '
'01564',TB OF MASTOID-CULT DX,1,'Tuberculosis',' ',' '
'01565',TB OF MASTOID-HISTO DX,1,'Tuberculosis',' ',' '
'01566',TB OF MASTOID-OTH TEST,1,'Tuberculosis',' ',' '
'01570',TB OF BONE NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01571',TB OF BONE NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01572',TB OF BONE NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01573',TB OF BONE NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01574',TB OF BONE NEC-CULT DX,1,'Tuberculosis',' ',' '
'01575',TB OF BONE NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01576',TB OF BONE NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01580',TB OF JOINT NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01581',TB OF JOINT NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01582',TB JOINT NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01583',TB OF JOINT NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01584',TB OF JOINT NEC-CULT DX,1,'Tuberculosis',' ',' '
'01585',TB OF JOINT NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01586',TB OF JOINT NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01590',TB BONE/JOINT NOS-UNSPEC,1,'Tuberculosis',' ',' '
'01591',TB BONE/JT NOS-NO EXAM,1,'Tuberculosis',' ',' '
'01592',TB BONE/JT NOS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01593',TB BONE/JT NOS-MICRO DX,1,'Tuberculosis',' ',' '
'01594',TB BONE/JT NOS-CULT DX,1,'Tuberculosis',' ',' '
'01595',TB BONE/JT NOS-HISTO DX,1,'Tuberculosis',' ',' '
'01596',TB BONE/JT NOS-OTH TEST,1,'Tuberculosis',' ',' '
'01600',TB OF KIDNEY-UNSPEC,1,'Tuberculosis',' ',' '
'01601',TB OF KIDNEY-NO EXAM,1,'Tuberculosis',' ',' '
'01602',TB OF KIDNEY-EXAM UNKN,1,'Tuberculosis',' ',' '
'01603',TB OF KIDNEY-MICRO DX,1,'Tuberculosis',' ',' '
'01604',TB OF KIDNEY-CULT DX,1,'Tuberculosis',' ',' '
'01605',TB OF KIDNEY-HISTO DX,1,'Tuberculosis',' ',' '
'01606',TB OF KIDNEY-OTH TEST,1,'Tuberculosis',' ',' '
'01610',TB OF BLADDER-UNSPEC,1,'Tuberculosis',' ',' '
'01611',TB OF BLADDER-NO EXAM,1,'Tuberculosis',' ',' '
'01612',TB OF BLADDER-EXAM UNKN,1,'Tuberculosis',' ',' '
'01613',TB OF BLADDER-MICRO DX,1,'Tuberculosis',' ',' '
'01614',TB OF BLADDER-CULT DX,1,'Tuberculosis',' ',' '
'01615',TB OF BLADDER-HISTO DX,1,'Tuberculosis',' ',' '
'01616',TB OF BLADDER-OTH TEST,1,'Tuberculosis',' ',' '
'01620',TB OF URETER-UNSPEC,1,'Tuberculosis',' ',' '
'01621',TB OF URETER-NO EXAM,1,'Tuberculosis',' ',' '
'01622',TB OF URETER-EXAM UNKN,1,'Tuberculosis',' ',' '
'01623',TB OF URETER-MICRO DX,1,'Tuberculosis',' ',' '
'01624',TB OF URETER-CULT DX,1,'Tuberculosis',' ',' '
'01625',TB OF URETER-HISTO DX,1,'Tuberculosis',' ',' '
'01626',TB OF URETER-OTH TEST,1,'Tuberculosis',' ',' '
'01630',TB URINARY NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01631',TB URINARY NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01632',TB URINARY NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01633',TB URINARY NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01634',TB URINARY NEC-CULT DX,1,'Tuberculosis',' ',' '
'01635',TB URINARY NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01636',TB URINARY NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01640',TB EPIDIDYMIS-UNSPEC,1,'Tuberculosis',' ',' '
'01641',TB EPIDIDYMIS-NO EXAM,1,'Tuberculosis',' ',' '
'01642',TB EPIDIDYMIS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01643',TB EPIDIDYMIS-MICRO DX,1,'Tuberculosis',' ',' '
'01644',TB EPIDIDYMIS-CULT DX,1,'Tuberculosis',' ',' '
'01645',TB EPIDIDYMIS-HISTO DX,1,'Tuberculosis',' ',' '
'01646',TB EPIDIDYMIS-OTH TEST,1,'Tuberculosis',' ',' '
'01650',TB MALE GENIT NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01651',TB MALE GEN NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01652',TB MALE GEN NEC-EX UNKN,1,'Tuberculosis',' ',' '
'01653',TB MALE GEN NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01654',TB MALE GEN NEC-CULT DX,1,'Tuberculosis',' ',' '
'01655',TB MALE GEN NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01656',TB MALE GEN NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01660',TB OVARY & TUBE-UNSPEC,1,'Tuberculosis',' ',' '
'01661',TB OVARY & TUBE-NO EXAM,1,'Tuberculosis',' ',' '
'01662',TB OVARY/TUBE-EXAM UNKN,1,'Tuberculosis',' ',' '
'01663',TB OVARY & TUBE-MICRO DX,1,'Tuberculosis',' ',' '
'01664',TB OVARY & TUBE-CULT DX,1,'Tuberculosis',' ',' '
'01665',TB OVARY & TUBE-HISTO DX,1,'Tuberculosis',' ',' '
'01666',TB OVARY & TUBE-OTH TEST,1,'Tuberculosis',' ',' '
'01670',TB FEMALE GEN NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01671',TB FEM GEN NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01672',TB FEM GEN NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01673',TB FEM GEN NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01674',TB FEM GEN NEC-CULT DX,1,'Tuberculosis',' ',' '
'01675',TB FEM GEN NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01676',TB FEM GEN NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01690',GU TB NOS-UNSPEC,1,'Tuberculosis',' ',' '
'01691',GU TB NOS-NO EXAM,1,'Tuberculosis',' ',' '
'01692',GU TB NOS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01693',GU TB NOS-MICRO DX,1,'Tuberculosis',' ',' '
'01694',GU TB NOS-CULT DX,1,'Tuberculosis',' ',' '
'01695',GU TB NOS-HISTO DX,1,'Tuberculosis',' ',' '
'01696',GU TB NOS-OTH TEST,1,'Tuberculosis',' ',' '
'01700',TB SKIN/SUBCUTAN-UNSPEC,1,'Tuberculosis',' ',' '
'01701',TB SKIN/SUBCUT-NO EXAM,1,'Tuberculosis',' ',' '
'01702',TB SKIN/SUBCUT-EXAM UNKN,1,'Tuberculosis',' ',' '
'01703',TB SKIN/SUBCUT-MICRO DX,1,'Tuberculosis',' ',' '
'01704',TB SKIN/SUBCUT-CULT DX,1,'Tuberculosis',' ',' '
'01705',TB SKIN/SUBCUT-HISTO DX,1,'Tuberculosis',' ',' '
'01706',TB SKIN/SUBCUT-OTH TEST,1,'Tuberculosis',' ',' '
'01710',ERYTHEMA NODOS TB-UNSPEC,1,'Tuberculosis',' ',' '
'01711',ERYTHEM NODOS TB-NO EXAM,1,'Tuberculosis',' ',' '
'01712',ERYTHEM NOD TB-EXAM UNKN,1,'Tuberculosis',' ',' '
'01713',ERYTHEM NOD TB-MICRO DX,1,'Tuberculosis',' ',' '
'01714',ERYTHEM NODOS TB-CULT DX,1,'Tuberculosis',' ',' '
'01715',ERYTHEM NOD TB-HISTO DX,1,'Tuberculosis',' ',' '
'01716',ERYTHEM NOD TB-OTH TEST,1,'Tuberculosis',' ',' '
'01720',TB PERIPH LYMPH-UNSPEC,1,'Tuberculosis',' ',' '
'01721',TB PERIPH LYMPH-NO EXAM,1,'Tuberculosis',' ',' '
'01722',TB PERIPH LYMPH-EXAM UNK,1,'Tuberculosis',' ',' '
'01723',TB PERIPH LYMPH-MICRO DX,1,'Tuberculosis',' ',' '
'01724',TB PERIPH LYMPH-CULT DX,1,'Tuberculosis',' ',' '
'01725',TB PERIPH LYMPH-HISTO DX,1,'Tuberculosis',' ',' '
'01726',TB PERIPH LYMPH-OTH TEST,1,'Tuberculosis',' ',' '
